ID,Galaxy,[Fe/H],e_[Fe/H],logeps(Mg),e_tot(Mg),sigma_Mg,[Mg/H],[Mg/Fe],logeps(Sc),e_tot(Sc),sigma_Sc,[Sc/H],[Sc/Fe],logeps(Ti),e_tot(Ti),sigma_Ti,[Ti/H],[Ti/Fe],logeps(Cr),e_tot(Cr),sigma_Cr,[Cr/H],[Cr/Fe],logeps(Mn),e_tot(Mn),sigma_Mn,[Mn/H],[Mn/Fe],logeps(Ni),e_tot(Ni),sigma_Ni,[Ni/H],[Ni/Fe],logeps(Zn),e_tot(Zn),sigma_Zn,[Zn/H],[Zn/Fe],logeps(Sr),e_tot(Sr),sigma_Sr,[Sr/H],[Sr/Fe],logeps(Y),e_tot(Y),sigma_Y,[Y/H],[Y/Fe],logeps(Ba),e_tot(Ba),sigma_Ba,[Ba/H],[Ba/Fe],logeps(Eu),e_tot(Eu),e_temp(Eu),e_logg(Eu),e_[Fe/H](Eu),e_v(Eu),e_stat(Eu),e_noise(Eu),sigma_Eu,[Eu/H],[Eu/Fe],sigma_Fe
[LDH2014] Fnx-mem0654,For,-1.64,0.06,6.33,0.22,0.22,-1.2699999999999996,0.37000000000000033,1.17,0.18,0.18,-1.98,-0.3400000000000001,3.75,0.22,0.22,-1.2000000000000002,0.4399999999999997,3.02,0.33,0.33,-2.6199999999999997,-0.9799999999999998,3.15,0.36,0.36,-2.28,-0.6399999999999999,4.79,0.27,0.27,-1.4299999999999997,0.2100000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.56,0.36,0.36,-1.62,0.019999999999999796,-0.81,0.15,0.04,0.13,0.05,0.03,0.0,0.01,0.15,-1.33,0.30999999999999983,0.06
[LDH2014] Fnx-mem0612,For,-1.54,0.07,6.41,0.22,0.22,-1.1899999999999995,0.35000000000000053,1.21,0.22,0.22,-1.94,-0.3999999999999999,nan,nan,nan,nan,nan,3.79,0.21,0.21,-1.8499999999999996,-0.3099999999999996,3.5,0.28,0.28,-1.9299999999999997,-0.3899999999999997,4.46,0.24,0.24,-1.7599999999999998,-0.21999999999999975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.73,0.33,0.33,-1.4500000000000002,0.08999999999999986,-0.54,0.14,0.03,0.12,0.06,0.04,0.0,0.01,0.14,-1.06,0.48,0.07
[LHT2010] BL147,For,-1.5,0.05,6.26,0.17,0.17,-1.3399999999999999,0.16000000000000014,1.32,0.12,0.12,-1.8299999999999998,-0.32999999999999985,3.27,0.2,0.2,-1.6800000000000002,-0.18000000000000016,nan,nan,nan,nan,nan,3.48,0.28,0.28,-1.9499999999999997,-0.44999999999999973,4.57,0.31,0.31,-1.6499999999999995,-0.14999999999999947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.08,0.17,0.17,-1.1,0.3999999999999999,0.0,0.31,0.11,0.23,0.14,0.12,0.0,0.01,0.31,-0.52,0.98,0.05
[LDH2014] Fnx-mem0747,For,-1.35,0.06,6.47,0.18,0.18,-1.13,0.2200000000000002,2.23,0.11,0.11,-0.9199999999999999,0.43000000000000016,4.0,0.1,0.1,-0.9500000000000002,0.3999999999999999,3.98,0.27,0.27,-1.6599999999999997,-0.3099999999999996,3.31,0.25,0.25,-2.1199999999999997,-0.7699999999999996,4.64,0.14,0.14,-1.58,-0.22999999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.55,0.17,0.17,-1.6300000000000001,-0.28,-0.14,0.1,0.04,0.09,0.01,0.01,0.0,0.02,0.1,-0.66,0.6900000000000001,0.06
[LDH2014] Fnx-mem0647,For,-1.34,0.07,6.46,0.1,0.1,-1.1399999999999997,0.2000000000000004,1.52,0.09,0.09,-1.63,-0.2899999999999998,4.12,0.18,0.18,-0.8300000000000001,0.51,4.14,0.34,0.34,-1.5,-0.15999999999999992,nan,nan,nan,nan,nan,4.89,0.12,0.12,-1.33,0.010000000000000009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.76,0.24,0.24,-1.45,-0.10999999999999988,0.32,0.23,0.23,-1.86,-0.52,-0.63,0.07,0.03,0.06,0.0,0.02,0.0,0.01,0.07,-1.15,0.19000000000000017,0.07
[LDH2014] Fnx-mem0546,For,-1.33,0.08,6.16,0.27,0.27,-1.4399999999999995,-0.10999999999999943,1.26,0.26,0.26,-1.89,-0.5599999999999998,3.93,0.31,0.31,-1.02,0.31000000000000005,3.57,0.39,0.39,-2.07,-0.7399999999999998,3.9,0.37,0.37,-1.5299999999999998,-0.19999999999999973,4.76,0.2,0.2,-1.46,-0.1299999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.25,0.12,0.12,-0.9300000000000002,0.3999999999999999,0.64,0.19,0.04,0.07,0.01,0.02,0.0,0.17,0.19,0.12,1.4500000000000002,0.08
2MASS J02381393-3446553,For,-1.32,0.04,6.7,0.25,0.25,-0.8999999999999995,0.4200000000000006,1.43,0.18,0.18,-1.72,-0.3999999999999999,3.73,0.22,0.22,-1.2200000000000002,0.09999999999999987,4.57,0.38,0.38,-1.0699999999999994,0.25000000000000067,3.67,0.26,0.26,-1.7599999999999998,-0.4399999999999997,4.99,0.34,0.34,-1.2299999999999995,0.09000000000000052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.64,0.18,0.18,-1.54,-0.21999999999999997,-0.51,0.15,0.04,0.13,0.04,0.03,0.0,0.01,0.15,-1.03,0.29000000000000004,0.04
[WMO2009] For-0970,For,-1.23,0.05,6.5,0.17,0.17,-1.0999999999999996,0.13000000000000034,1.51,0.12,0.12,-1.64,-0.4099999999999999,3.71,0.11,0.11,-1.2400000000000002,-0.010000000000000231,4.31,0.29,0.29,-1.33,-0.10000000000000009,3.56,0.19,0.19,-1.8699999999999997,-0.6399999999999997,4.67,0.12,0.12,-1.5499999999999998,-0.31999999999999984,2.74,0.27,0.27,-1.8199999999999994,-0.5899999999999994,nan,nan,nan,nan,nan,0.07,0.28,0.28,-2.14,-0.9100000000000001,0.58,0.1,0.1,-1.6,-0.3700000000000001,-0.92,0.22,0.07,0.17,0.1,0.08,0.0,0.01,0.22,-1.44,-0.20999999999999996,0.05
2MASS J02401043-3425177,For,-1.01,0.1,6.55,0.05,0.05,-1.0499999999999998,-0.039999999999999813,1.77,0.12,0.12,-1.38,-0.3699999999999999,3.48,0.21,0.21,-1.4700000000000002,-0.4600000000000002,4.69,0.19,0.19,-0.9499999999999993,0.06000000000000072,3.86,0.04,0.04,-1.5699999999999998,-0.5599999999999998,5.13,0.18,0.18,-1.0899999999999999,-0.07999999999999985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.91,0.23,0.23,-1.27,-0.26,-0.06,0.1,0.01,0.09,0.03,0.01,0.0,0.01,0.1,-0.5800000000000001,0.42999999999999994,0.1
[WMO2009] For-0361,For,-1.01,0.11,6.6,0.09,0.09,-1.0,0.010000000000000009,1.86,0.1,0.1,-1.2899999999999998,-0.2799999999999998,3.9,0.25,0.25,-1.0500000000000003,-0.04000000000000026,4.79,0.42,0.42,-0.8499999999999996,0.16000000000000036,3.98,0.13,0.13,-1.4499999999999997,-0.4399999999999997,4.97,0.2,0.2,-1.25,-0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.34,0.14,0.14,-0.8400000000000001,0.16999999999999993,-0.01,0.08,0.02,0.07,0.03,0.02,0.0,0.01,0.08,-0.53,0.48,0.11
